ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
30.0,4.0,51220.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
37.0,4.474,151333.0,3.89,0,1,1,1,0,0,0,0,1,0,0,1,0,0
18.0,4.296,78269.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
21.0,4.0,75954.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
22.0,4.217,98614.0,3.81,0,1,1,1,0,0,0,0,1,0,0,0,0,0
59.0,4.543,81908.0,3.75,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0.0,4.569,102317.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
33.0,4.449,51945.0,3.59,1,1,1,1,0,0,0,0,1,0,0,1,0,0
12.0,4.19,119096.0,3.63,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5.0,4.216,57677.0,3.56,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,4.154,93683.0,3.82,0,1,1,1,0,0,0,0,0,0,0,0,0,1
23.0,4.225,53171.0,3.44,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24.0,4.406,48413.0,3.79,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29.0,3.931,62992.0,3.25,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0.0,3.4719294297574828,73264.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
28.0,4.186,64912.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30.0,3.957,34264.0,3.79,0,1,1,1,0,0,0,0,0,0,0,1,0,0
12.0,4.32,55908.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
24.0,4.043,70190.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
24.0,4.75,55390.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
